iter	Passed	Remaining
986	13023	171
987	13035	158
988	13046	145
989	13060	131
990	13073	118
991	13086	105
992	13098	92
993	13109	79
994	13121	65
995	13134	52
996	13147	39
997	13159	26
998	13172	13
999	13185	0
